Date,Name,Year,Letterboxd URI,Genre,Director,Writer,Actors,Language,Country,Poster
2024-06-10,Asteroid City,2023,https://boxd.it/s3ds,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola","Jason Schwartzman, Scarlett Johansson, Tom Hanks",English,United States,https://m.media-amazon.com/images/M/MV5BZjY2YjYxNjEtNDJkYi00ZmJjLWIwYTEtNjEyZDgzY2M5ZDc3XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Challengers,2024,https://boxd.it/zld0,"Comedy, Drama, Romance",Luca Guadagnino,Justin Kuritzkes,"Mike Faist, Josh O'Connor, Zendaya","English, Romanian","Italy, United States",https://m.media-amazon.com/images/M/MV5BZTcyZGIyODctZGJhOS00MWUyLWI5ZWEtMjg4YzhkMDczMDBhXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Creed,2015,https://boxd.it/a2qk,"Action, Drama, Sport",Ryan Coogler,"Ryan Coogler, Aaron Covington, Sylvester Stallone","Michael B. Jordan, Sylvester Stallone, Tessa Thompson","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNWM3NjY2ZDctMGZiYy00OGFlLThkMTktOTY2MDM2YjE2OTliXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Creed III,2023,https://boxd.it/pf68,"Action, Drama, Sport",Michael B. Jordan,"Keenan Coogler, Zach Baylin, Ryan Coogler","Michael B. Jordan, Tessa Thompson, Jonathan Majors","English, American Sign , Spanish, Hawaiian",United States,https://m.media-amazon.com/images/M/MV5BOWY0MTRmY2YtMzBlYi00NjlkLThkZWYtMmE2NzJiZmIzODFkXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Creed II,2018,https://boxd.it/hgl8,"Action, Drama, Sport",Steven Caple Jr.,"Juel Taylor, Sylvester Stallone, Sascha Penn","Michael B. Jordan, Sylvester Stallone, Tessa Thompson","English, Russian, Sign ",United States,https://m.media-amazon.com/images/M/MV5BMTBmYTg3YTItZjUzYi00MGU2LThiNDUtMDA3NjNmMTFiYzZkXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,John Wick: Chapter 4,2023,https://boxd.it/mh48,"Action, Crime, Thriller",Chad Stahelski,"Shay Hatten, Michael Finch, Derek Kolstad","Keanu Reeves, Laurence Fishburne, George Georgiou","English, Japanese, Russian, French, Spanish, German, Latin, Cantonese, Arabic","United States, Germany",https://m.media-amazon.com/images/M/MV5BY2Q2ZmI5ZjUtNWVhMC00YzJkLTlmYjMtY2RmZDhkNzEzYjZhXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Avatar: The Way of Water,2022,https://boxd.it/2E2E,"Action, Adventure, Fantasy",James Cameron,"James Cameron, Rick Jaffa, Amanda Silver","Sam Worthington, Zoe Saldaña, Sigourney Weaver",English,United States,https://m.media-amazon.com/images/M/MV5BMWNlMWQyMTQtZjc5MC00NTljLTgxZTctZDZiZTBmODY5MTkyXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Enola Holmes 2,2022,https://boxd.it/vfDe,"Action, Adventure, Crime",Harry Bradbeer,"Jack Thorne, Harry Bradbeer, Nancy Springer","Millie Bobby Brown, Henry Cavill, David Thewlis",English,United States,https://m.media-amazon.com/images/M/MV5BZjRjZjZhNzUtMDQyMC00OWZmLWIzMjQtZDM2OWRhNzgwOGU2XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,What Is a Woman?,2022,https://boxd.it/A8UM,Documentary,Justin Folk,N/A,"Matt Walsh, Gert Comfrey, Marci Bowers",English,United States,https://m.media-amazon.com/images/M/MV5BNWJhNDVkZWUtZmI0MS00NzRlLWFmMmItMjY0ZTMzNWQ0NTljXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Top Gun: Maverick,2022,https://boxd.it/cjr4,"Action, Drama",Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Val Kilmer, Miles Teller",English,United States,https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Northman,2022,https://boxd.it/nK2s,"Action, Adventure, Drama",Robert Eggers,"Sjón, Robert Eggers","Alexander Skarsgård, Nicole Kidman, Claes Bang","English, Norse, Old, Ukrainian","United Kingdom, China, United States",https://m.media-amazon.com/images/M/MV5BYzgwM2JiY2MtNWQ5OC00NDc1LWExMjYtYmY2YjViZmViYWM5XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,"Adventure, Fantasy",David Yates,"J.K. Rowling, Steve Kloves","Eddie Redmayne, Jude Law, Ezra Miller","English, German, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZjJmNDc3NTMtZjU4Yy00N2FkLTljYWEtMGZlOTA4ODcwNTc3XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Last Duel,2021,https://boxd.it/mQbe,"Drama, History, Thriller",Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon","Matt Damon, Adam Driver, Jodie Comer","English, German, French, Latin","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZGZiNDFkNDgtNDlmNS00NzZmLTg4MmItMzJkYjdmMjJkZDliXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,CODA,2021,https://boxd.it/tbf4,"Comedy, Drama, Music",Sian Heder,"Sian Heder, Victoria Bedos, Stanislas Carré de Malberg","Emilia Jones, Marlee Matlin, Troy Kotsur","American Sign , English","France, Canada, United States",https://m.media-amazon.com/images/M/MV5BNzIzOTNjOTQtM2QzOC00NjFlLTljZDUtZmI4Yjg1YTkyMTBiXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Power of the Dog,2021,https://boxd.it/m99E,"Drama, Western",Jane Campion,"Jane Campion, Thomas Savage","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons","English, Shoshoni, Italian, French","New Zealand, United Kingdom, Canada, Australia, United States",https://m.media-amazon.com/images/M/MV5BNzgyMzA2NDEtZWUxNy00MDNmLTllMDYtNzZmNTU5ZWVmMzhlXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Woman in the Window,2021,https://boxd.it/iT56,"Crime, Drama, Mystery",Joe Wright,"Tracy Letts, A.J. Finn","Amy Adams, Gary Oldman, Anthony Mackie",English,United States,https://m.media-amazon.com/images/M/MV5BODI1YzhlZTMtZDNkYy00NDdhLWJiMDctYjU4YjZiYTM2YzRkXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Judas and the Black Messiah,2021,https://boxd.it/lsew,"Biography, Crime, Drama",Shaka King,"Will Berson, Shaka King, Kenneth Lucas","LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons",English,United States,https://m.media-amazon.com/images/M/MV5BOWJkZWY5YTAtMTQwMS00MGUyLWJjM2UtMGM5ZmRkMTc4MjRiXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Invisible Man,2020,https://boxd.it/kWlA,"Drama, Horror, Mystery",Leigh Whannell,"Leigh Whannell, H.G. Wells","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer",English,"Australia, United States",https://m.media-amazon.com/images/M/MV5BYTM3NDJhZWUtZWM1Yy00ODk4LThjNmMtNDg3OGYzMGM2OGYzXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,"Action, Adventure, Thriller",David Leitch,"Chris Morgan, Drew Pearce, Gary Scott Thompson","Dwayne Johnson, Jason Statham, Idris Elba","English, Samoan, Russian","United States, Japan",https://m.media-amazon.com/images/M/MV5BNmU4OTA5NGYtMTFjMS00MzgxLWFjNTMtYjdlMThlYzc4M2M4XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,BlacKkKlansman,2018,https://boxd.it/hxL8,"Biography, Comedy, Crime",Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott","John David Washington, Adam Driver, Laura Harrier",English,"United States, China",https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_SX300.jpg
2024-06-10,The Shape of Water,2017,https://boxd.it/dZ5m,"Drama, Fantasy, Romance",Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Octavia Spencer, Michael Shannon","English, American Sign , Russian, French","United States, Mexico",https://m.media-amazon.com/images/M/MV5BOGFlMTM2MTgtZDdlMy00ZDZlLWFjOTUtZDMzMGEwNmNiMWY0XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,No Country for Old Men,2007,https://boxd.it/21ew,"Crime, Drama, Thriller","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy","Tommy Lee Jones, Javier Bardem, Josh Brolin","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg
2024-06-10,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy,"Crime, Drama, Thriller",Sidney Lumet,Kelly Masterson,"Philip Seymour Hoffman, Ethan Hawke, Albert Finney",English,United States,https://m.media-amazon.com/images/M/MV5BZTI5NDMyMWMtOTllMS00NGRhLTkzYmQtZTU2NjZiYmUyMzE1XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Aviator,2004,https://boxd.it/26BU,"Biography, Drama",Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale","English, Persian","Germany, United States",https://m.media-amazon.com/images/M/MV5BYTUyYWJlNDgtOTM5Ny00YTQ3LWFmYTgtZjJiNTNkYjJlMmY4XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,The Green Mile,1999,https://boxd.it/2agG,"Crime, Drama, Fantasy",Frank Darabont,"Stephen King, Frank Darabont","Tom Hanks, Michael Clarke Duncan, David Morse","English, French",United States,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg
2024-06-10,Saving Private Ryan,1998,https://boxd.it/29ro,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore","English, French, German, Czech",United States,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg
2024-06-11,The Omen,1976,https://boxd.it/29By,"Horror, Mystery",Richard Donner,"David Seltzer, Harvey Bernhard","Gregory Peck, Lee Remick, David Warner","English, Latin, Italian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BOTgxNjY0OTEtYWExOC00OWJiLWEzY2ItNzNjYTY0YjhjNjlhXkEyXkFqcGc@._V1_SX300.jpg
2024-06-11,2001: A Space Odyssey,1968,https://boxd.it/2bf0,"Adventure, Sci-Fi",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke","Keir Dullea, Gary Lockwood, William Sylvester","English, Russian, French","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_SX300.jpg
2024-06-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,"Drama, Romance, Sci-Fi",Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth","Jim Carrey, Kate Winslet, Tom Wilkinson",English,United States,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg
2024-08-08,Immaculate,2024,https://boxd.it/Douw,"Horror, Thriller",Michael Mohan,Andrew Lobel,"Sydney Sweeney, Álvaro Morte, Simona Tabasco","English, Italian",United States,https://m.media-amazon.com/images/M/MV5BMWEzYjYyMjQtNTJjYi00ZDQ5LWE4N2MtNWY2ZTgxODNhYWM4XkEyXkFqcGc@._V1_SX300.jpg
2024-08-28,Oddity,2024,https://boxd.it/K9pg,"Horror, Thriller",Damian Mc Carthy,Damian Mc Carthy,"Carolyn Bracken, Gwilym Lee, Steve Wall",English,Ireland,https://m.media-amazon.com/images/M/MV5BMWU5Yjc0N2MtZjhlYS00MTM3LWI5YWUtZDg5MzcxZjEyZWJmXkEyXkFqcGc@._V1_SX300.jpg
2024-09-06,Trap,2024,https://boxd.it/D4nK,"Crime, Horror, Mystery",M. Night Shyamalan,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Shyamalan",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMzJiN2UyZjgtMjQ3MS00MDhhLTg5ZDItZmVjMTU3MTcwNzE4XkEyXkFqcGc@._V1_SX300.jpg
2024-09-06,Kinds of Kindness,2024,https://boxd.it/CWPw,"Comedy, Drama, Horror",Yorgos Lanthimos,"Yorgos Lanthimos, Efthimis Filippou","Emma Stone, Jesse Plemons, Willem Dafoe",English,"Ireland, United Kingdom, United States, Greece",https://m.media-amazon.com/images/M/MV5BMjZmZGY1MzMtNDVkNi00NjE2LTlkMzMtMmUzNWExY2ExZWI2XkEyXkFqcGc@._V1_SX300.jpg
2024-09-06,Blink Twice,2024,https://boxd.it/vIOg,"Mystery, Thriller",Zoë Kravitz,"Zoë Kravitz, E.T. Feigenbaum","Naomi Ackie, Channing Tatum, Alia Shawkat",English,"United States, Mexico",https://m.media-amazon.com/images/M/MV5BMzczYmQ0NTUtMTM5OS00Mzc4LWExZDYtOWE4YjRkOWJkYWRlXkEyXkFqcGc@._V1_SX300.jpg
2024-09-15,Speak No Evil,2024,https://boxd.it/G9f8,"Drama, Horror, Thriller",James Watkins,"James Watkins, Christian Tafdrup, Mads Tafdrup","James McAvoy, Mackenzie Davis, Scoot McNairy","English, Italian","Croatia, Canada, United States",https://m.media-amazon.com/images/M/MV5BMWI2OWFjNjgtOTQ2Zi00MjlmLTg2MGYtNmE4MjMyZjIzMDA0XkEyXkFqcGc@._V1_SX300.jpg
2024-10-20,It's What's Inside,2024,https://boxd.it/DOV4,"Comedy, Mystery, Sci-Fi",Greg Jardin,Greg Jardin,"Brittany O'Grady, James Morosini, Gavin Leatherwood",English,United States,https://m.media-amazon.com/images/M/MV5BNDkxOTZmZTYtYTNmNS00MDk3LWE0MDAtMzY5M2Y5YmU1MmI2XkEyXkFqcGc@._V1_SX300.jpg
2024-11-01,Smile,2022,https://boxd.it/xjfE,"Horror, Mystery, Thriller",Parker Finn,Parker Finn,"Sosie Bacon, Jessie T. Usher, Kyle Gallner","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNjFhMzBlNzktMjE2Ni00YTMyLWI2YWUtYmM1N2QxMDQwZmZhXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Smile 2,2024,https://boxd.it/FDA4,"Horror, Mystery, Thriller",Parker Finn,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BYTg5OTMyMGMtYzMwNC00NDMyLWE0OGUtMTQ1ODcwM2FjOTM4XkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Tenet,2020,https://boxd.it/leq4,"Action, Sci-Fi, Thriller",Christopher Nolan,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki",English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNTIzNDIxMzktMzlkMi00MmUyLWFmMjQtZDgwMjBmOGJmNTI3XkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Junior,1994,https://boxd.it/21Qg,"Comedy, Romance, Sci-Fi",Ivan Reitman,"Kevin Wade, Chris Conrad","Arnold Schwarzenegger, Danny DeVito, Emma Thompson","English, German",United States,https://m.media-amazon.com/images/M/MV5BYmY3YWMyMWYtN2UyYS00YjgwLWEyOTktMmNjY2JiN2MyNWY5XkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,The Black Phone,2021,https://boxd.it/sqFE,"Horror, Mystery, Thriller",Scott Derrickson,"Joe Hill, Scott Derrickson, C. Robert Cargill","Mason Thames, Madeleine McGraw, Ethan Hawke",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMjFhZTcxOTktMzllMS00MzIzLWJhODEtZDU5YTFkNzRjZWQyXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,The Shawshank Redemption,1994,https://boxd.it/2aHi,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton",English,United States,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,12 Angry Men,1957,https://boxd.it/2auI,"Crime, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb",English,United States,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,Drama,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman",English,United States,https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,"Adventure, Drama, Western",Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci","Clint Eastwood, Eli Wallach, Lee Van Cleef","Italian, English","Italy, Spain, West Germany, United States",https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Once Upon a Time in the West,1968,https://boxd.it/2az4,"Drama, Western",Sergio Leone,"Sergio Donati, Sergio Leone, Dario Argento","Claudia Cardinale, Henry Fonda, Jason Robards","English, Spanish, Italian","Italy, United States",https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_SX300.jpg
